company,step_number,screen_name,required_inputs,optional_inputs,insurance_or_payment_step,clinical_screening_depth,provider_visibility,booking_visibility,payment_point,safe_stopping_point,main_strength,main_friction,legion_comparison,confidence_level,notes
"Talkiatry","3","Care recipient selection","Select care is for self or someone under 18","None observed","No insurance or payment submitted yet","Low","No provider shown","No booking shown","No payment shown","Continue before deeper personal details","Supports adult and minor pathways","Adds another routing step before provider visibility","Legion's observed flow focused on adults and virtual care. Talkiatry explicitly supports self or under-18 care routing.","Medium","Observed options were Myself and Someone else who is under 18."
"Talkiatry","4","Basic info and insurance-related profile","Enter legal name, DOB, phone, sex on file with insurer, address, and referral source","Middle name and address line 2 optional","Insurance/profile setup before match","Medium","No provider shown yet","No booking shown yet","No payment shown","Stop before submitting real insurance details if not comfortable","Collects insurance-matching data carefully","Heavy personal-data burden before users see matches","Legion shows provider match much earlier. Talkiatry likely improves insurance accuracy but adds activation friction.","High","Screen copy emphasized matching insurer records to verify coverage quickly and accurately."
"Talkiatry","5","Coverage verification fallback","Enter policyholder relationship and coverage details after verification failure","Policyholder relationship choices include Me, Spouse, Parent, Stepparent, Foster parent, Grandparent, Other","Insurance verification fallback","Medium","No provider shown yet","User can still book while coverage is being confirmed","No payment shown","Continue without completing real booking","Strong fallback because user can still book while insurer is contacted","Coverage uncertainty remains unresolved before booking","Legion allows provider visibility without this much insurance verification. Talkiatry's fallback is operationally strong but adds complexity.","High","Observed message said coverage could not be verified and Talkiatry would contact insurer directly. It also said user could still book a visit in the meantime."
"Talkiatry","6","Psychiatric care reasons","Choose all applicable reasons","I'm not sure option available","No payment shown","High","No provider shown yet","No booking shown yet","No payment shown","Continue before final booking","Multi-select clinical routing captures comorbid needs well","Longer clinical intake before provider visibility","Similar to Legion's multi-select condition capture, but Talkiatry asks more clinically detailed questions before showing providers.","High","Observed options included ADHD, Anxiety, Bipolar disorder, Depression, OCD, Postpartum depression, PTSD, and I'm not sure."
"Talkiatry","7","Complexity and safety screening","Answer questions about eating disorder, personality disorder, schizophrenia, self-harm, substance use, LGBTQIA+ care, pregnancy, hospitalization, suicide risk, alcohol, drugs, medication openness, emergency contact, and existing appointment status","Some multi-selects available","No payment shown","Very high","No provider shown until after screening","No booking shown until after screening","No payment shown","Stop before confirming appointment","Strong clinical and safety discipline before matching","Very long onboarding before provider list","Legion is faster to provider cards. Talkiatry is deeper clinically and likely safer for matching, but heavier for activation.","High","Observed extensive safety and clinical matching questions including self-harm risk, substance use, emergency contact, and medication openness."
"Talkiatry","8","Clinician match list","Review matched clinicians","View bio available","No payment shown","High already completed","Provider list shown with multiple clinicians","Booking buttons shown on each clinician card","No payment shown before observed booking modal","Stop before confirming appointment","Strong provider transparency and patient choice","User reaches this only after long intake","Talkiatry is strongest competitor against Legion for provider-choice experience. Legion shows provider cards earlier, but Talkiatry offers multiple clinician choices after deeper screening.","High","Observed message: There are 8 clinicians who seem to be a great match for you. Provider cards showed name, credentials, specialty tags, bio link, earliest availability, and Book visit button."
"Talkiatry","9","Appointment scheduling modal","Pick appointment day and time","None observed","No payment shown","High already completed","Selected clinician visible","Calendar and time-slot modal visible","Confirm appointment button shown after selecting time","Stop before confirming appointment","Clear appointment scheduling after choosing clinician","Calendar appears after clicking into one provider rather than in a full side-by-side comparison view","Legion shows appointment times directly on provider cards, which is faster. Talkiatry's modal gives calendar control after clinician selection.","High","Observed calendar for June 2026 with time slots such as 09:00 AM, 01:00 PM, 01:30 PM, 02:00 PM, 02:30 PM, 03:00 PM, and 03:30 PM."
"Brightside Health","1","Initial setup","Select who care is for, state, and insurance","Already registered link visible","Insurance selected in first screen","Low","No provider shown","No booking shown","No payment shown","Continue before deeper clinical assessment","Combines simple setup fields into one screen, reducing click count","Insurance appears before user understands provider availability or specific cost","More efficient than Talkspace's separate simple-detail screens. Legion's insurance step is separate but reaches provider cards faster.","High","Observed first screen asked who care is for, state, and insurance together."
"Brightside Health","2","Condition and service interest","Select conditions and service type","I'm not sure options available","No payment shown","Medium","No provider shown","No booking shown","No payment shown","Continue before account or payment","Multi-select condition capture and therapy/psychiatry selection are strong","Broad list may feel long but captures complexity well","Similar to Legion on multi-select conditions. Brightside adds explicit therapy versus psychiatry interest earlier.","High","Observed condition list included depression, anxiety, insomnia, panic, bipolar disorder, OCD, PTSD, social anxiety, phobia, postpartum depression, burnout, binge eating/eating disorders, ADD/ADHD, substance or alcohol use issues, persistent depressive disorder, SAD, PMDD, relationship issues, borderline personality disorder, grief/loss, gambling issues, body image/weight issues, trauma, perimenopause-related issues, something else, and I'm not sure."
"Brightside Health","3","Depression and anxiety assessment","Answer PHQ/GAD-style symptom questions","None observed","No payment shown","High","No provider shown","No booking shown","No payment shown","Continue before account or treatment selection","Strong clinical assessment depth and measurement","Long questionnaire before provider visibility","Legion is faster and less burdensome. Brightside is stronger at making the intake feel clinically grounded.","High","Observed repeated two-week symptom questions for depression and anxiety, functional difficulty, prior treatment, and recent ER or inpatient history."
"Brightside Health","4","Self-harm and crisis handling","Answer self-harm severity question if triggered","Crisis resources shown","No payment shown","Very high","No provider shown","No booking shown","No payment shown","Stop if any real crisis situation exists","Strong safety handling and crisis routing","Can make the flow emotionally intense, but this is clinically appropriate","Brightside appears stronger than Legion on visible crisis-resource handling and suicide-prevention program routing in the observed flow.","High","Observed crisis resources included hospital, 988 Suicide and Crisis Lifeline, 911, and Crisis Text Line 741-741. Brightside said user may be eligible for Suicide Prevention with Psychiatry program."
"Brightside Health","5","Account creation","Create free account with first name and email","Continue with external login option observed","No payment yet","High already completed","No provider shown","No booking shown","No payment shown","Stop before submitting sensitive or payment details","Account creation protects results and enables continuation","Account required before results and treatment options","Legion creates account during flow as well. Brightside uses account creation before displaying assessment result feedback.","Medium","Observed create free account screen after clinical assessment."
"Brightside Health","6","Assessment results","Review depression and anxiety scores","See treatment options CTA","No payment yet","High already completed","No specific provider list shown","Appointment availability message shown but no provider slot list observed","No payment shown yet","Stop before choosing plan or entering payment","Best observed result-feedback experience among competitors","Still no specific provider list before the observed stopping point","Brightside is stronger than Legion on clinical explanation and score feedback. Legion is stronger on early provider cards and slot specificity.","High","Observed result screen showed mild depression 9/27, minimal anxiety 4/21, clinical level, and appointments available as soon as Wed Jun 24 at 8:00 AM. Next steps included mental health assessment, choose a plan, personal information, book appointments, and signup complete."
"Brightside Health","7","Insurance intake / personal details","Enter primary insurance holder, legal name, DOB, and other coverage details","Primary holder dropdown observed","Insurance coverage verification","High already completed","No provider list observed","No booking observed before plan/personal info path","Payment not reached in observed flow","Stop before entering real payment or final booking","Structured insurance capture after assessment result","Personal and insurance detail burden still appears before provider bios or booking","Legion shows provider cards earlier. Brightside asks for more structured clinical and insurance data before specific provider visibility.","Medium","Observed primary insurance holder screen with legal first name, legal last name, and DOB fields."
